Alloy,Elements,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,Actual phase,Phases considered,References
Al0.5NbTaTiV,"['Al', 'Nb', 'Ta', 'Ti', 'V']",0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.proeng.2012.03.043
Al0.75MoNbTiV,"['Al', 'Mo', 'Nb', 'Ti', 'V']",0.157894737,0,0,0,0,0,0,0.210526316,0.210526316,0.210526316,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.3390/e16020870
Al0.25MoNbTiV,"['Al', 'Mo', 'Nb', 'Ti', 'V']",0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0.235294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.3390/e16020870
Al0.25NbTaTiV,"['Al', 'Nb', 'Ta', 'Ti', 'V']",0.058823529,0,0,0,0,0,0,0.235294118,0.235294118,0.235294118,0,0,0,0.235294118,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.proeng.2012.03.043
Al0.2MoTaTiV,"['Al', 'Mo', 'Ta', 'Ti', 'V']",0.047619048,0,0,0,0,0,0,0.238095238,0.238095238,0,0.238095238,0,0,0.238095238,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.4028/www.scientific.net/MSF.898.638
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,"['Al', 'Nb', 'Ta', 'Ti', 'V', 'Zr']",0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s11837-014-1066-0
Al0.5CrNbTi2V0.5,"['Al', 'Cr', 'Nb', 'Ti', 'V']",0.1,0,0.2,0,0,0,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.matlet.2016.11.030
Al0.5MoNbTiV,"['Al', 'Mo', 'Nb', 'Ti', 'V']",0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.3390/e16020870
Al0.6MoTaTiV,"['Al', 'Mo', 'Ta', 'Ti', 'V']",0.130434783,0,0,0,0,0,0,0,0.217391304,0.217391304,0.217391304,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.4028/www.scientific.net/MSF.898.638
Al1.5MoNbTiV,"['Al', 'Mo', 'Nb', 'Ti', 'V']",0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.3390/e16020870
AlCr0.5NbTiV,"['Al', 'Cr', 'Nb', 'Ti', 'V']",0.222222222,0,0.111111111,0,0,0,0,0.222222222,0.222222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.jallcom.2015.08.224
AlCrMoNbTi,"['Al', 'Cr', 'Mo', 'Nb', 'Ti']",0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FCC,2,https://doi.org/10.1016/j.jallcom.2015.11.050
AlMoNbTiV,"['Al', 'Mo', 'Nb', 'Ti', 'V']",0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.3390/e16020870
MoTaTiV,"['Mo', 'Ta', 'Ti', 'V']",0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.4028/www.scientific.net/MSF.898.638
AlNb1.5Ta0.5Ti1.5Zr0.5,"['Al', 'Nb', 'Ta', 'Ti', 'Zr']",0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1007/s11837-014-1066-0
AlNbTaTiV,"['Al', 'Nb', 'Ta', 'Ti', 'V']",0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.proeng.2012.03.043
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,"['Hf', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1080/14786435.2015.1028506
Hf0.5Mo0.5NbTiZr,"['Hf', 'Mo', 'Nb', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.intermet.2015.09.011
Hf0.5Nb0.5Ta0.5Ti1.5Zr,"['Hf', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1063/1.4966659
Hf0.75NbTa0.5Ti1.5Zr1.25,"['Hf', 'Nb', 'Ta', 'Ti', 'Zr']",0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,BCC,1,https://doi.org/10.1016/j.msea.2017.10.073
