Alloy,Elements,Phases considered,number,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,N,Li,Sn,B,Y,Pd,VEC,dSmix,Elect.Diff,Atom.Size.Diff,dHmix
Fe0.10Ni0.10Cr0.10Co0.70,"['Fe', 'Ni', 'Cr', 'Co']",1,4,0.0,0.7000000000000001,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.700000000000001,7.819354801674711,0.07681145747868601,0.0032176233499333975,-1.8000000000000003
Fe0.10Ni0.10Cr0.20Co0.60,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.6000000000000001,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,9.053658845007861,0.08999999999999998,0.0030917046399886296,-2.880000000000001
Fe0.10Ni0.10Cr0.30Co0.50,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.5,0.30000000000000004,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.100000000000001,9.71368443199303,0.10148891565092222,0.0029604349578765993,-3.6400000000000006
Fe0.10Ni0.10Cr0.40Co0.40,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.800000000000001,9.92376818327393,0.11180339887498952,0.0028230679585706793,-4.080000000000001
Fe0.10Ni0.10Cr0.50Co0.30,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.30000000000000004,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,9.71368443199303,0.12124355652982147,0.0026786657607098022,-4.200000000000001
Fe0.10Ni0.10Cr0.60Co0.20,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.2,0.6000000000000001,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,9.053658845007861,0.1300000000000001,0.002526022133016578,-4.000000000000001
Fe0.10Ni0.10Cr0.70Co0.10,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.1,0.7000000000000001,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,7.819354801674711,0.13820274961085263,0.0023635408554497687,-3.4800000000000004
Fe0.10Ni0.20Cr0.10Co0.60,"['Fe', 'Ni', 'Cr', 'Co']",1,4,0.0,0.6000000000000001,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,9.053658845007861,0.07968688725254607,0.003044740369568375,-1.9600000000000002
Fe0.10Ni0.20Cr0.20Co0.50,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.5,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,10.148739101126065,0.09246621004453462,0.002911353890713041,-3.16
Fe0.10Ni0.20Cr0.30Co0.40,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.4,0.30000000000000004,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,10.64134796069403,0.10368220676663861,0.002771555345985456,-4.040000000000001
Fe0.10Ni0.20Cr0.40Co0.30,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.30000000000000004,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,10.64134796069403,0.11379806676741047,0.0026243202157418145,-4.6000000000000005
Fe0.10Ni0.20Cr0.50Co0.20,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.2,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,10.148739101126065,0.12308533625091177,0.0024683180819419855,-4.84
Fe0.10Ni0.20Cr0.60Co0.10,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.1,0.6000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.300000000000001,9.053658845007861,0.131719398723195,0.0023017670847703866,-4.760000000000001
Fe0.10Ni0.30Cr0.10Co0.50,"['Fe', 'Ni', 'Cr', 'Co']",1,4,0.0,0.5,0.1,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,9.71368443199303,0.08246211251235314,0.0028614310779961315,-2.12
Fe0.10Ni0.30Cr0.20Co0.40,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.4,0.2,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600000000000001,10.64134796069403,0.09486832980505135,0.002719067004141807,-3.440000000000001
Fe0.10Ni0.30Cr0.30Co0.30,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.30000000000000004,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,10.923873068981095,0.10583005244258363,0.0025688252046223974,-4.440000000000001
Fe0.10Ni0.30Cr0.40Co0.20,"['Fe', 'Ni', 'Cr', 'Co']",2,4,0.0,0.2,0.4,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.000000000000002,10.641347960694029,0.11575836902790229,0.00240923234470939,-5.120000000000001
Fe0.10Ni0.30Cr0.50Co0.10,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.1,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.700000000000001,9.71368443199303,0.12489995996796802,0.002238289089837259,-5.480000000000001
Fe0.10Ni0.40Cr0.10Co0.40,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.4,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.92376818327393,0.08514693182963193,0.0026655452932120367,-2.2800000000000002
Fe0.10Ni0.40Cr0.20Co0.30,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.30000000000000004,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,10.64134796069403,0.09721111047611787,0.0025121045497859843,-3.7200000000000006
Fe0.10Ni0.40Cr0.30Co0.20,"['Fe', 'Ni', 'Cr', 'Co']",2,4,0.0,0.2,0.30000000000000004,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,10.64134796069403,0.10793516572461452,0.0023486606455480202,-4.840000000000001
Fe0.10Ni0.40Cr0.40Co0.10,"['Fe', 'Ni', 'Cr', 'Co']",2,4,0.0,0.1,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,9.92376818327393,0.11768602295939823,0.002172957520716096,-5.640000000000001
Fe0.10Ni0.50Cr0.10Co0.30,"['Fe', 'Ni', 'Cr', 'Co']",0,4,0.0,0.30000000000000004,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.100000000000001,9.71368443199303,0.08774964387392115,0.002454073268304674,-2.4400000000000004
Fe0.10Ni0.50Cr0.20Co0.20,"['Fe', 'Ni', 'Cr', 'Co']",2,4,0.0,0.2,0.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,10.148739101126065,0.09949874371066196,0.002286484892820896,-4.0
